Id,Label,timeset,indegree,outdegree,degree,modularity_class
UCW9jLtlONRp7W-AK9F8M66Q,Luiz Felipe Pondé,,16,24,40,0
UCEWOoncsrmirqnFqxer9lmA,The Noite com Danilo Gentili,,18,36,54,0
UCWdXgfpEIZIGzah9_yCL-Xw,Saber Filosófico,,17,26,43,0
UCr88VYLpASHODHBn7Nh_iJw,Spotniks,,28,38,66,0
UC9U4nIDyIzzelXrjNQXNvxA,Pânico Jovem Pan,,27,36,63,0
UCF453hXTROcm9CfCERYUjtQ,Rádio Bandeirantes,,17,27,44,0
UCmiptCNi7GR1P0H6bp9y0lQ,Física e Afins,,31,42,73,0
UCtvvTFp0XANyllOdmzZr9VQ,Casa do Saber,,27,35,62,0
UCUw7hCgpimep4N_oEmG7G4g,MICHELSON BORGES,,38,45,83,0
UCLXl1V6n82Dyg1VhVgSL0nw,Aviões e Músicas,,38,18,56,1
UCmArkwjUI8VRHudOjEsVCUw,Paulo Kogos,,34,36,70,0
UCV8ZgEjwdNnZC4_FJtdDFCg,O Fisico Turista,,31,38,69,0
UCunqx90PNIv30uOgn0m4CTg,Acredite ou Não,,36,26,62,1
UC9MlLx2cgfeYBEfSb9WHrHQ,Débora G. Barbosa,,25,24,49,0
UCnU2EtUW8Z4DxSqXxJ5cMQg,Cellbit,,21,23,44,0
UCV306eHqgo0LvBf3Mh36AHg,Felipe Neto,,36,22,58,1
UCthbIFAxbXTTQEC7EcQvP1Q,BBC News Brasil,,32,23,55,1
UCYiM773ssvNMaBHvaWWeIoQ,Folha Política,,47,4,51,0
UC65OaKMLtpEUs9BiLSb_u1g,Ficha Social,,35,7,42,0
UCQRPDZMSwXFEDS67uc7kIdg,Buenas Ideias,,10,6,16,0
UCRwUUVSY_JGLm7IaKKOZ0yQ,PAPO PLANO,,23,42,65,0
UCkVPPZdJn6gTL5H7Fk78NGg,MISTÉRIOS DO MUNDO,,35,46,81,0
UC-l4Sv-gy98g_NBasXEEcGg,MrRone43,,26,21,47,2
UCJX4v2xaPsHpw_IC_7z6n5g,DinoCast,,31,30,61,0
UCj0O6W8yDuLg3iraAXKgCrQ,Você Sabia?,,34,25,59,1
UCDoPuIvx88nh69fS5VJCNWg,Ciencia de Verdade,,22,42,64,1
UCIirjo8OWJBMLfV_peBD6RQ,AssombradO.com.br,,26,25,51,1
UCWijW6tW0iI5ghsAbWDFtTg,Rádio BandNews FM,,30,3,33,0
UCmYuiV9wAR3i8p19Ygc7izg,TV FOLHA,,23,8,31,1
UCJIKKHplhnzcDmpztqUO7nA,Qvida Boa,,36,24,60,1
UC7UckdkEgdNpLKPL_7zKq-w,Sistemático,,18,41,59,2
UCjIPRjJZtGhzWD2LrEKOHMA,Matemática Rio com Prof. Rafael Procopio,,24,26,50,1
UCKuwqceoy_TPnGG_5AnI7DQ,Professor Aquino - Matemática,,39,38,77,1
UCdFNjuQaNP4oRbWPPwZE7Lw,Café e Ciência,,27,39,66,2
UCbAiIkPobUFy71zlmwVw3jw,Fatos Desconhecidos,,38,31,69,1
UCzGwyAyWLB2Si6VDFpq8rjw,Dois Dedos de Teologia,,23,17,40,2
UCC6f63SXY0CDpsPGDBtTWVg,Henry Bugalho,,18,35,53,0
UC9SebjeUOSsSWYFdX3rIPxA,IN - Inteligência Natural,,31,44,75,1
UCcHGwKkulmhlhbJlmS5Yuog,Edneu Almeida,,21,9,30,1
UCYzfuJ8e5rsmD4ahjVyWpMA,TERRA PLANA EVIDÊNCIAS,,28,36,64,1
UCD2oSog85xBT8fDvw6i_jCA,Douglas Aleodin,,18,35,53,0
UCquENngBYGYpHYtN0OVYLKQ,Bruno S. Alves,,19,34,53,0
UCOHU34pTtFNVUORh8mQhlFQ,TViVO 2,,27,26,53,1
UCHgK6t6Ma6m15UNO2z7YZyw,Guru da Ciência,,29,2,31,1
UCIQPHl1WKKTt9KkWyo_JNig,INCRÍVEL,,22,6,28,1
UCT2iDke9SuPfp0XO0rr8YSA,Caio Fábio,,26,23,49,2
UCjzXzcLnF2P8tS3Vp4KTjjQ,Das trevas para a LUZ,,19,24,43,1
UCCezReUgOmvh_fOnIbbxDeg,Terra Convexa,,21,22,43,1
UC3mPqVcIe7WR40Xo7VGgLcw,Professor Terra Plana,,20,28,48,1
